id,week_number,attendance,assignment,marks,comments,user
1,1,87,61,80,Week 1 good.,2
2,2,98,69,65,Week 2 good.,2
3,3,89,67,96,Week 3 good.,2
4,4,91,67,94,Week 4 good.,2
5,5,98,74,60,Week 5 good.,2
6,6,94,100,87,Week 6 good.,2
7,7,84,85,73,Week 7 good.,2
8,8,82,73,74,Week 8 good.,2
9,9,87,82,62,Week 9 good.,2
10,10,82,98,57,Week 10 good.,2
11,1,86,77,80,Week 1 good.,3
12,2,83,96,83,Week 2 good.,3
13,3,94,90,92,Week 3 good.,3
14,4,96,97,56,Week 4 good.,3
15,5,97,98,57,Week 5 good.,3
16,6,86,67,87,Week 6 good.,3
17,7,84,73,100,Week 7 good.,3
18,8,98,88,79,Week 8 good.,3
19,9,91,87,76,Week 9 good.,3
20,10,82,81,54,Week 10 good.,3
21,1,92,78,81,Week 1 good.,4
22,2,94,92,90,Week 2 good.,4
23,3,97,77,50,Week 3 good.,4
24,4,82,63,79,Week 4 good.,4
25,5,82,99,67,Week 5 good.,4
26,6,95,74,59,Week 6 good.,4
27,7,85,88,50,Week 7 good.,4
28,8,89,84,85,Week 8 good.,4
29,9,87,87,85,Week 9 good.,4
30,10,83,74,51,Week 10 good.,4
31,1,96,95,77,Week 1 good.,5
32,2,94,84,63,Week 2 good.,5
33,3,89,87,83,Week 3 good.,5
34,4,90,96,98,Week 4 good.,5
35,5,99,64,74,Week 5 good.,5
36,6,95,70,51,Week 6 good.,5
37,7,99,67,70,Week 7 good.,5
38,8,89,78,100,Week 8 good.,5
39,9,88,66,78,Week 9 good.,5
40,10,83,85,81,Week 10 good.,5
41,1,86,66,89,Week 1 good.,6
42,2,96,89,75,Week 2 good.,6
43,3,85,82,95,Week 3 good.,6
44,4,87,99,68,Week 4 good.,6
45,5,83,93,84,Week 5 good.,6
46,6,81,83,53,Week 6 good.,6
47,7,92,96,75,Week 7 good.,6
48,8,97,68,86,Week 8 good.,6
49,9,89,88,91,Week 9 good.,6
50,10,98,89,95,Week 10 good.,6
51,1,80,66,56,Week 1 good.,7
52,2,86,60,80,Week 2 good.,7
53,3,88,96,86,Week 3 good.,7
54,4,93,64,72,Week 4 good.,7
55,5,97,87,54,Week 5 good.,7
56,6,96,63,55,Week 6 good.,7
57,7,93,67,75,Week 7 good.,7
58,8,83,66,73,Week 8 good.,7
59,9,94,90,64,Week 9 good.,7
60,10,93,62,61,Week 10 good.,7
61,1,100,73,86,Week 1 good.,8
62,2,100,78,69,Week 2 good.,8
63,3,93,61,57,Week 3 good.,8
64,4,91,74,78,Week 4 good.,8
65,5,89,60,70,Week 5 good.,8
66,6,88,60,86,Week 6 good.,8
67,7,91,83,94,Week 7 good.,8
68,8,89,99,66,Week 8 good.,8
69,9,91,65,96,Week 9 good.,8
70,10,90,90,75,Week 10 good.,8
71,1,94,85,83,Week 1 good.,9
72,2,87,88,99,Week 2 good.,9
73,3,85,64,55,Week 3 good.,9
74,4,80,93,98,Week 4 good.,9
75,5,93,87,92,Week 5 good.,9
76,6,91,65,80,Week 6 good.,9
77,7,85,83,59,Week 7 good.,9
78,8,86,84,71,Week 8 good.,9
79,9,90,96,54,Week 9 good.,9
80,10,81,92,96,Week 10 good.,9
81,1,94,62,66,Week 1 good.,10
82,2,82,98,67,Week 2 good.,10
83,3,93,98,72,Week 3 good.,10
84,4,86,78,82,Week 4 good.,10
85,5,97,62,52,Week 5 good.,10
86,6,100,68,71,Week 6 good.,10
87,7,98,95,91,Week 7 good.,10
88,8,97,79,79,Week 8 good.,10
89,9,83,63,62,Week 9 good.,10
90,10,86,74,77,Week 10 good.,10
91,1,83,95,100,Week 1 good.,11
92,2,89,99,55,Week 2 good.,11
93,3,92,94,66,Week 3 good.,11
94,4,82,93,61,Week 4 good.,11
95,5,92,70,82,Week 5 good.,11
96,6,97,72,97,Week 6 good.,11
97,7,87,100,78,Week 7 good.,11
98,8,87,99,65,Week 8 good.,11
99,9,95,70,95,Week 9 good.,11
100,10,91,94,52,Week 10 good.,11
101,1,86,80,73,Week 1 good.,12
102,2,86,76,82,Week 2 good.,12
103,3,96,94,82,Week 3 good.,12
104,4,92,65,55,Week 4 good.,12
105,5,81,71,62,Week 5 good.,12
106,6,96,78,62,Week 6 good.,12
107,7,99,69,81,Week 7 good.,12
108,8,92,90,73,Week 8 good.,12
109,9,84,72,91,Week 9 good.,12
110,10,81,73,65,Week 10 good.,12
111,1,95,65,93,Week 1 good.,13
112,2,84,84,82,Week 2 good.,13
113,3,84,86,77,Week 3 good.,13
114,4,84,90,80,Week 4 good.,13
115,5,96,63,59,Week 5 good.,13
116,6,94,86,82,Week 6 good.,13
117,7,83,85,62,Week 7 good.,13
118,8,93,90,70,Week 8 good.,13
119,9,87,60,62,Week 9 good.,13
120,10,100,80,85,Week 10 good.,13
121,1,98,63,60,Week 1 good.,14
122,2,100,87,93,Week 2 good.,14
123,3,89,68,87,Week 3 good.,14
124,4,84,92,70,Week 4 good.,14
125,5,82,84,76,Week 5 good.,14
126,6,80,79,75,Week 6 good.,14
127,7,81,92,82,Week 7 good.,14
128,8,86,80,91,Week 8 good.,14
129,9,89,82,76,Week 9 good.,14
130,10,87,89,58,Week 10 good.,14
131,1,95,84,72,Week 1 good.,15
132,2,83,70,65,Week 2 good.,15
133,3,98,89,63,Week 3 good.,15
134,4,84,95,98,Week 4 good.,15
135,5,82,64,78,Week 5 good.,15
136,6,86,98,52,Week 6 good.,15
137,7,94,70,96,Week 7 good.,15
138,8,95,85,77,Week 8 good.,15
139,9,82,81,98,Week 9 good.,15
140,10,83,67,66,Week 10 good.,15
141,1,87,96,82,Week 1 good.,16
142,2,98,96,81,Week 2 good.,16
143,3,94,74,85,Week 3 good.,16
144,4,83,93,65,Week 4 good.,16
145,5,86,60,68,Week 5 good.,16
146,6,83,76,60,Week 6 good.,16
147,7,89,89,84,Week 7 good.,16
148,8,87,86,86,Week 8 good.,16
149,9,99,95,62,Week 9 good.,16
150,10,89,75,84,Week 10 good.,16
151,1,84,65,80,Week 1 good.,17
152,2,94,82,74,Week 2 good.,17
153,3,87,94,76,Week 3 good.,17
154,4,99,77,65,Week 4 good.,17
155,5,96,63,80,Week 5 good.,17
156,6,100,90,79,Week 6 good.,17
157,7,83,92,90,Week 7 good.,17
158,8,88,80,82,Week 8 good.,17
159,9,86,60,100,Week 9 good.,17
160,10,99,63,87,Week 10 good.,17
161,1,85,88,80,Week 1 good.,18
162,2,97,60,76,Week 2 good.,18
163,3,90,91,91,Week 3 good.,18
164,4,81,100,100,Week 4 good.,18
165,5,100,93,62,Week 5 good.,18
166,6,83,88,82,Week 6 good.,18
167,7,99,97,61,Week 7 good.,18
168,8,100,93,59,Week 8 good.,18
169,9,92,62,97,Week 9 good.,18
170,10,83,84,66,Week 10 good.,18
171,1,85,64,70,Week 1 good.,19
172,2,89,75,83,Week 2 good.,19
173,3,98,95,79,Week 3 good.,19
174,4,87,99,91,Week 4 good.,19
175,5,98,68,77,Week 5 good.,19
176,6,92,61,69,Week 6 good.,19
177,7,96,100,73,Week 7 good.,19
178,8,100,87,65,Week 8 good.,19
179,9,84,100,91,Week 9 good.,19
180,10,89,78,90,Week 10 good.,19
181,1,88,87,60,Week 1 good.,20
182,2,82,72,88,Week 2 good.,20
183,3,89,85,90,Week 3 good.,20
184,4,86,62,71,Week 4 good.,20
185,5,82,85,96,Week 5 good.,20
186,6,87,64,74,Week 6 good.,20
187,7,80,75,60,Week 7 good.,20
188,8,81,87,57,Week 8 good.,20
189,9,99,86,96,Week 9 good.,20
190,10,88,82,52,Week 10 good.,20
191,1,86,93,65,Week 1 good.,21
192,2,94,62,57,Week 2 good.,21
193,3,100,88,58,Week 3 good.,21
194,4,83,72,64,Week 4 good.,21
195,5,96,92,86,Week 5 good.,21
196,6,94,83,53,Week 6 good.,21
197,7,97,71,91,Week 7 good.,21
198,8,90,69,78,Week 8 good.,21
199,9,90,99,75,Week 9 good.,21
200,10,94,76,58,Week 10 good.,21
201,1,87,100,94,Week 1 good.,22
202,2,86,64,96,Week 2 good.,22
203,3,94,80,92,Week 3 good.,22
204,4,99,93,50,Week 4 good.,22
205,5,99,67,72,Week 5 good.,22
206,6,90,61,93,Week 6 good.,22
207,7,95,70,70,Week 7 good.,22
208,8,90,83,80,Week 8 good.,22
209,9,98,71,91,Week 9 good.,22
210,10,90,93,85,Week 10 good.,22
211,1,100,72,68,Week 1 good.,23
212,2,86,60,64,Week 2 good.,23
213,3,87,67,88,Week 3 good.,23
214,4,81,70,89,Week 4 good.,23
215,5,100,69,77,Week 5 good.,23
216,6,80,87,78,Week 6 good.,23
217,7,88,71,70,Week 7 good.,23
218,8,94,71,54,Week 8 good.,23
219,9,93,83,81,Week 9 good.,23
220,10,96,96,83,Week 10 good.,23
221,1,91,64,92,Week 1 good.,24
222,2,89,64,68,Week 2 good.,24
223,3,88,75,97,Week 3 good.,24
224,4,94,60,71,Week 4 good.,24
225,5,88,75,52,Week 5 good.,24
226,6,86,98,80,Week 6 good.,24
227,7,98,83,60,Week 7 good.,24
228,8,83,78,99,Week 8 good.,24
229,9,92,94,54,Week 9 good.,24
230,10,87,80,66,Week 10 good.,24
231,1,80,64,96,Week 1 good.,25
232,2,94,70,88,Week 2 good.,25
233,3,84,73,88,Week 3 good.,25
234,4,100,67,67,Week 4 good.,25
235,5,81,95,88,Week 5 good.,25
236,6,81,69,58,Week 6 good.,25
237,7,96,96,51,Week 7 good.,25
238,8,97,84,98,Week 8 good.,25
239,9,94,87,63,Week 9 good.,25
240,10,87,85,51,Week 10 good.,25
241,1,95,95,71,Week 1 good.,26
242,2,97,93,53,Week 2 good.,26
243,3,91,75,57,Week 3 good.,26
244,4,99,89,97,Week 4 good.,26
245,5,96,75,84,Week 5 good.,26
246,6,81,91,90,Week 6 good.,26
247,7,88,96,90,Week 7 good.,26
248,8,80,87,98,Week 8 good.,26
249,9,88,74,98,Week 9 good.,26
250,10,91,70,90,Week 10 good.,26
251,1,97,69,99,Week 1 good.,27
252,2,81,90,87,Week 2 good.,27
253,3,87,78,100,Week 3 good.,27
254,4,96,69,71,Week 4 good.,27
255,5,94,66,74,Week 5 good.,27
256,6,98,80,56,Week 6 good.,27
257,7,94,66,50,Week 7 good.,27
258,8,92,68,74,Week 8 good.,27
259,9,98,90,55,Week 9 good.,27
